,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,100,IN,1562780784,87,15.34,74.49,25.65,4.05
1,Ilulissat,90,GL,1562780785,75,69.22,-51.1,8.0,2.6
2,Port Elizabeth,1,US,1562780785,62,39.31,-74.98,32.78,3.1
3,Carson City,1,US,1562780785,25,39.16,-119.77,27.78,1.5
4,Nemuro,33,JP,1562780786,89,43.32,145.57,9.55,2.15
5,Hilo,90,US,1562780787,78,19.71,-155.08,24.44,2.1
6,Atuona,1,PF,1562780785,73,-9.8,-139.03,26.85,7.79
7,Butaritari,96,KI,1562780787,70,3.07,172.79,28.75,0.92
8,Axim,65,GH,1562780787,85,4.87,-2.24,24.65,5.48
9,Hobart,75,AU,1562780489,81,-42.88,147.33,10.0,3.6
10,Constitucion,5,MX,1562780788,49,23.99,-104.67,23.33,1.5
11,Ushuaia,0,AR,1562780786,100,-54.81,-68.31,5.0,1.56
12,Beboto,94,TD,1562780789,91,8.27,16.94,23.15,4.25
13,Invermere,100,CA,1562780789,69,50.51,-116.03,18.33,0.45
14,Tual,83,ID,1562780789,80,-5.67,132.75,25.05,7.91
15,Albany,40,US,1562780553,35,42.65,-73.75,30.56,1.88
16,Huilong,52,CN,1562780790,78,31.15,106.5,23.35,2.2
17,Rikitea,26,PF,1562780790,79,-23.12,-134.97,22.95,9.92
18,Atar,0,MR,1562780791,8,20.52,-13.05,41.15,4.7
19,Clyde River,40,CA,1562780791,51,70.47,-68.59,15.0,6.7
20,Havre-Saint-Pierre,75,CA,1562780792,45,50.23,-63.6,20.0,5.1
21,Bethel,75,US,1562780792,93,60.79,-161.76,18.0,2.1
22,Kokopo,100,PG,1562780792,91,-4.34,152.27,20.95,1.3
23,Qaanaaq,27,GL,1562780793,71,77.48,-69.36,5.35,0.52
24,Umm Lajj,0,SA,1562780793,80,25.02,37.27,29.15,1.07
25,De-Kastri,98,RU,1562780793,95,51.48,140.77,10.75,2.23
26,Punta Arenas,75,CL,1562780794,93,-53.16,-70.91,3.0,3.6
27,Beringovskiy,0,RU,1562780794,57,63.05,179.32,15.05,1.69
28,Airai,14,TL,1562780794,83,-8.93,125.41,19.65,2.11
29,Tigil,61,RU,1562780795,82,57.8,158.67,10.65,2.06
30,Guerrero Negro,0,MX,1562780795,81,27.97,-114.04,19.15,6.12
31,Atoyac,40,MX,1562780795,84,18.92,-96.78,32.22,2.94
32,Port Alfred,0,ZA,1562780796,90,-33.59,26.89,14.44,0.45
33,Mar del Plata,71,AR,1562780796,69,-46.43,-67.52,9.55,4.26
34,Dunedin,0,NZ,1562780720,71,-45.87,170.5,8.89,1.79
35,Katsuura,75,JP,1562780797,94,33.93,134.5,23.0,8.2
36,Busselton,100,AU,1562780781,71,-33.64,115.35,9.44,4.95
37,Farafangana,0,MG,1562780797,95,-22.82,47.83,17.45,0.87
38,Altay,68,CN,1562780798,72,47.83,88.13,12.75,2.92
39,Crixas,0,BR,1562780798,20,-14.55,-49.97,31.55,1.58
40,Cherskiy,0,RU,1562780798,45,68.75,161.3,21.85,3.18
41,Taquarituba,0,BR,1562780799,53,-23.53,-49.25,20.25,1.69
42,Bluff,93,AU,1562780799,85,-23.58,149.07,16.05,1.77
43,Kruisfontein,12,ZA,1562780800,95,-34.0,24.73,10.65,1.61
44,Tazovskiy,31,RU,1562780800,68,67.47,78.7,7.95,2.64
45,Faanui,29,PF,1562780800,72,-16.48,-151.75,24.95,3.61
46,Urucara,42,BR,1562780801,88,-2.54,-57.76,27.55,0.7
47,Hasaki,75,JP,1562780801,88,35.73,140.83,18.0,2.6
48,Hermanus,0,ZA,1562780801,94,-34.42,19.24,13.33,2.72
49,Pangai,75,TO,1562780801,100,-19.8,-174.35,23.0,1.0
50,Puerto Ayora,40,EC,1562780802,61,-0.74,-90.35,26.0,7.7
51,Bilma,0,NE,1562780802,10,18.69,12.92,38.55,0.87
52,East London,0,ZA,1562780803,93,-33.02,27.91,14.0,2.1
53,Nome,1,US,1562780803,70,30.04,-94.42,34.44,1.5
